item_name,description,auth_choosen_name,preview,video_360,,,,,
Lavander jumpsuit with leather belt,"Featuring a leather belt and platinum buttons, this lavender jumpsuit is designed for fun, self-expression and self-confidence. This outfit can exist not only in the virtual world, but also in your wardrobe. Just look, friends, at these cute hearts on the chest! Just wonderful!",Neverit_arist,"https://dl.airtable.com/.attachments/736e3df2f1ab6e64a410936a880aa716/1eddc434/ZERO_10_ALENANEVEROVA_STYLEFRAME_01_02_00000.png?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=f3ec10697fd79897, ",All good,"https://dl.airtable.com/.attachments/55f1e574b04452fdca74c9b55a035c5c/0467f21f/ZERO_OPEN10_ALENANEVEROVA_animation_02_00.mp4?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=15fd18529b12b413, ",All good,All good,All good,1
Magma jacket,I created this jacket with the use of materials similar to liquid magma inspired by the power of volcano phenomenon.,Valerie Disorder,"https://dl.airtable.com/.attachments/11acb61f6f02fd537c1268fa335fb60c/202f0a33/High-resolutionpreview.png?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=6ab9ab7ee95bb8c7, ",All good,"https://dl.airtable.com/.attachments/b809470d6a70cd04546af54851173d23/4cdc7348/Magmajacket360videoH264.mp4?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=3cd321a9db665d89, ",All good,All good,All good,1
Mystic and Rust,The mystical and the natural. The spiritual is in the mundane and natural. ,Digital Sigga,"https://dl.airtable.com/.attachments/6141e8748a00b35cb01282f27a74f7f5/9f0cbf36/MistvalPantsandRust.png?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=cc820a602f5c1374, ",All good,"https://dl.airtable.com/.attachments/b24084d4a40bb6b497d666968c5cd0dd/14fd4283/pantsandrust360.mp4?ts=1658990153&userId=usrJS3FPcjRWm5Vxo&cs=0574c0501d39dbf4, ",All good,All good,All good,1
Heady,"My brand Porka_X reflects my vision of future clothes. Creating virtual clothes - I create more than clothing, I create a character. I see it as a canvas, where I'm trying to find the best shape and then apply prints on it. Print - is my self-expression. My prints reflect my passion, what is in my mind. The first impression people usually get from clothes, gestures, moves. Working in CLO3D I have an opportunity to create my own installations. Characters, that will present clothes how I see them. When I work with virtual clothes I feel freedom and pass this feeling to others. Virtual life, like virtual clothes, help us to get rid of prejudice",Porka_X,"https://dl.airtable.com/.attachments/c275e84019ff2504f6c4cfd51f88a5c8/8859c485/Porka_X_for_zero10.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=bd9289143ca2e57f, ",All good,"https://dl.airtable.com/.attachments/05d16f4b5c37794d6fe0c5e99618141b/105df253/Porka_X.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=378c707290b13da0, ",All good,All good,All good,1
syro 'drague' knit,"""Somewhere, in a sparsely populated galaxy, there is a planet like any other. The creatures of this world have four limbs. The two lower limbs enable them to move forward and backward, and the two upper limbs enable them to kill""

This quote is from experimental sci-fi animation masterpiece called ‘Fantastic Planet’ directed by Rène Laloux and based on Stefan's Wul novel. It isn't hard to guess whom this quote is referring to as 'the creatures' with four 'limbs'. It's also easy to understand that Syro 'Drague' Knit is a loving tribute to this very movie. This magnificent blue garment has a loose cropped fit and it is topped with a 3D visualization of the main character inhabiting ""Fantastic Planet"", called ""Drague"" as the sweater does.

The meaning of the 'Drague' Knit is based on film's narrative allegory about animal rights and human rights, as well as racism — problems that remain extremely relevant to this day.",Syro,"https://dl.airtable.com/.attachments/28aa926d99208afa8a940f3f3d6d5105/d9844c48/syrodragueknit.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=e6320520fca1d323, ",All good,"https://dl.airtable.com/.attachments/501f42ff663ac6c6eb403e1f8ee2e29d/a396c6d4/syrodragueknitVideo.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=1eb1a659855958b4, ",All good,All good,All good,1
Oil (Neft') dress,I was inspired by global crisis. I dipped my ('asil) dress in oil to show that the reason for all wars on Earth is the struggle for resources.,Nawel ('asil),"https://dl.airtable.com/.attachments/ca7a876807ec21911f8a30802440b1de/6af4c782/neft5.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=403824b25bbdafe1, ",All good,"https://dl.airtable.com/.attachments/fec24c2d52c1394267c5ecd6ec3c3364/88a89a95/neft5.hevc.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=8f760378037cf275, ",All good,All good,All good,1
Rusty Dress Soft Underskirt,"Soft fabric underskirt in therapeutic colors with the rough rusty dress on top, softness with a solid shell. ",Digital Sigga ,"https://dl.airtable.com/.attachments/095d189d82db3ec1c07ffd5a767bd905/8790d5fc/Rustydress.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=93c2d1c35ea659df, ",All good,"https://dl.airtable.com/.attachments/c8796e0c06dd86cd0a7c2a11fb9021ba/b30e2538/RustyDress360.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=81380f75ebf2d378, ",All good,All good,All good,1
NEKRASOVA CYBERPUNK SUIT,Cyberpunk suit for those who are ready to rock the world of the WEB3 ⚡️,Ekaterina Nekrasova,"https://dl.airtable.com/.attachments/4d6ae80d967ff050ba5bb82c8ac8dfc9/09e844fb/NEKRASOVASUIT.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=6450d29be9edb083, ",All good,"https://dl.airtable.com/.attachments/4607122e65133138267bb272496c18eb/8bedb6f8/NEKRASOVA_SUIT_hevc_compressed.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=3a819ac206ff94e0, ",All good,All good,All good,1
Wow Dress,Extraordinary Futuristic dress,Dosiokana,"https://dl.airtable.com/.attachments/368e269d8c62baac6df31c4a30f97385/83e0df98/preview.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=8dc6d628892f05e1, ",All good,"https://dl.airtable.com/.attachments/2f8eb0513094022d642d4e063965b167/bcd16f02/1_3_3.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=e453030f4b7a3953, ",All good,All good,All good,1
Vrubel blazer,This is blazer inspired by genius artist Mikhail Vrubel . i use part of his paint ,Nawel ('asil),"https://dl.airtable.com/.attachments/a5c0ee2b0c76ce1368b135ca13bd4894/d7aeeb1a/vrubelblazer_ColorwayA.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=d093c1d4184b0c07, ",All good,"https://dl.airtable.com/.attachments/809dcebc05751132ae88146e4891a091/f636744a/vrubel-360.hevc.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=2d79713d85bdb454, ",All good,All good,All good,1
Darkness 2.0,"Darkness 2.0 is a sleeveless halterneck jumpsuit. Taking the classic men's shirt and suit as the prototype, through 3D three-dimensional tailoring, the original structure was dismantled and rebuilt into Darkness 2.0. The shirt is disassembled into two symmetrical parts, which are added to the sides of the jumpsuit as the outer skirt. The front waist has an outer apron with a classic suit hem structure, and a fishtail-shaped hem design.",Linyi Li,"https://dl.airtable.com/.attachments/ceb7ae9ef771a34f2ebd83beb6da2eef/05ed0b6e/darkness2.0front.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=7251cd46e8587d0e, ",All good,"https://dl.airtable.com/.attachments/d0fd3ff4e35f051ad8395e86041b951b/209e9ce6/2ad9b84f-827f-45bb-8d42-bf11c4684ddb-2-4515cc8f-f7bf-4f23-a6ab-0675a5b62daf.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=739524be112c4b96, ",All good,All good,All good,1
Aura Form,"This uniform is inspired by Aura which is displayed as a gradient repelling and attracting different energy layers and colours.  
The whole look gives a feeling of dreaminess and mystery.",Adiella Bachshe (sgicreator),"https://dl.airtable.com/.attachments/3fc57bf9cace974ab32d3bad5941039d/62cdb770/AuraForm_Front2.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=563eef47517af93c, ",All good,"https://dl.airtable.com/.attachments/3099f86f56f18be50521a0644d07f32f/535d304e/AuraForm.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=ac919f41d8c563d8, ",All good,All good,All good,1
Light Knit,"A lot of my designs are focused on bringing the digital and the natural together. In this case I my starting point was in the ethereal beauty of the shadows of plants in the wind. I found it fascinating how it contrasts with the way we view digital images, where we are able to see digital images through the light our screens emit, we can see these projections of plants by the absence of that light. The garments themselves are transparent in a purposefully artificial way to let the natural but digitised light shine from withing them.  ",Non Fungible Clothing,"https://dl.airtable.com/.attachments/a03e250ffc8f66f8bb37ee46cf8dd289/2e9e7d16/KnitFinal.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=2a4379fcf947d96c, ",All good,"https://dl.airtable.com/.attachments/7804d5d4a8b672bb0aff8f1a9410fb16/2c3a88ee/RenderknitFinal.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=a48f6bd2a96df863, ",All good,All good,All good,1
Star Sky Dress,"The dress is inspired by the shining stars of the night sky
In the center of the composition, a bright star, from it softly fa down the drapery and closes behind a smaller star.
The accent of the dress is a translucent hem strewn with star pollen. Wave-like shiny threads of the pattern convey the movements of the clouds. In this way, this composition looks vicious from all sides.",Mirtaly,"https://dl.airtable.com/.attachments/851662ea8accb483ad4ed8bbfdca88ff/4e90a460/Star_Sky_dress.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=a80f2aefa358376a, ",All good,"https://dl.airtable.com/.attachments/3d0d2ecf48066cee10d72fbc4a025a59/b866e76f/test4.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=ddfb5bae129b486e, ",All good,All good,All good,1
Block Chain dress,Futuristic contemporary Block Chain dress reflects a connection between physical and digital worlds.  Block Chain dress consists of the mirror mini dress and removable chain skirt. ,ILONA SONG,"https://dl.airtable.com/.attachments/d1dcf08a004a0f7bdb2d5cc8a228045d/14c68253/chain_dress_front.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=63cec8c8d36a8320, ",All good,"https://dl.airtable.com/.attachments/f646768658ff59e621cff29c76d4222f/2c7237dd/Chain_dress.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=886388be8e57882f, ",All good,All good,All good,1
"Sweatshirt ""Wings"" (Woman)","All products were created with the support of the new digital atelier A.D.A. (Alkali Digital Atelier)
Costume (Big pants and Wings sweatshirt), combines technology and nature. The glass effect of sweatshirt has a print inspired by insect, mainly wings.
All sets are created for any gender and can be worn separately.",O.Che,"https://dl.airtable.com/.attachments/e9db87c2cf163e02b4a25dacbc60a40b/b2f1e46b/SweatshirtWingsW1.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=af3b8e1d5de52dac, ",All good,"https://dl.airtable.com/.attachments/849df79b3c8ffdf8e0c16bf330633b42/a0c952ee/SweatshirtWingsW.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=395541e9406e8b06, ",All good,All good,All good,1
Butterfly,"This dress is included in the collection ""Midsummer night"". 
Cool summer nights beckon with the sweet scent of mattiola in the garden, where the dew shimmers on the cobwebs, and the moon accompanies you on a midnight romantic date with him...",Galina Seredenko,"https://dl.airtable.com/.attachments/a4d471f37b036e71a9ea41fca991763b/2a6cf6ab/Butterfly.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=467cab26846346da, ",All good,"https://dl.airtable.com/.attachments/8f165caadab50adb7b7fa0654568e35b/a2a1bd95/Galina_Seredenko_butterfly.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=c9d300b861e72f48, ",All good,All good,All good,1
Online babe,"This work was inspired by the series ""Severance"".

It is dedicated to all people who feel out of place

From A.D.A. (digital atelier)",Papaga Lab,"https://dl.airtable.com/.attachments/e35e12e5d1afb3a1556f432c7ddcb14c/ff0ae9e0/RENDER0.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=40dcccd242d63e70, ",All good,"https://dl.airtable.com/.attachments/53241b8172ad6ba9f96eb521c2ce6a46/3d158b01/vldeo3600001-0150.hevc.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=6ab9720d5a1e606e, ",All good,All good,All good,1
Alneol Dress,"Alneol Dress was designed for planet Love.
Special characteristics: super soft gradient fabric with installed lights and puffy sleeves filled with a special gas. 
You may visit the planet Love wearing Alneol Dress anytime on the Miss ship departure from the Earth.
",Julia Blanc,"https://dl.airtable.com/.attachments/0f994452a06e9b0d0f1fcc46a7aa138d/5b38c5ed/AlneolDress.png?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=61a0abbef5dac443, ",All good,"https://dl.airtable.com/.attachments/1c32d74873b8d7cebfa0046eda5ed800/071f9836/Alneol_Dress.mp4?ts=1658990154&userId=usrJS3FPcjRWm5Vxo&cs=2e66e699a3ada506, ",All good,All good,All good,1
