item_name,description,auth_choosen_name,preview,preview_status,video_360
Lavander jumpsuit with leather belt,"Featuring a leather belt and platinum buttons, this lavender jumpsuit is designed for fun, self-expression and self-confidence. This outfit can exist not only in the virtual world, but also in your wardrobe. Just look, friends, at these cute hearts on the chest! Just wonderful!",Neverit_arist,"https://dl.airtable.com/.attachments/736e3df2f1ab6e64a410936a880aa716/1eddc434/ZERO_10_ALENANEVEROVA_STYLEFRAME_01_02_00000.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=7b6f01ea7b069e90, ",All good,"https://dl.airtable.com/.attachments/55f1e574b04452fdca74c9b55a035c5c/0467f21f/ZERO_OPEN10_ALENANEVEROVA_animation_02_00.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=c0fc760bf653c6a8, "
Beetle,"parametric design(grasshopper 3d), simulation of various processes that mimic the structure of a plant leaf",Denis Kireev (Щелочь),"https://dl.airtable.com/.attachments/44cbe4b426c0e91d64be7806a01e00de/97ee30d7/001.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=8495c6842a0c1c07, ",Needs fixing,"https://dl.airtable.com/.attachments/acace4a8e8a14c38efda4884af4554df/dcacf342/mov001.mov?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=004f537f38a47e3c, "
Digital nomad YK,"My name is Kristine Egiazarian, I'm a creator and digital nomad. 
I would love to join your community. 
I've created 3 clothing items that are made of liquid glass, it seemed important to me to create a collection dedicated to nomads. Nowadays creators/artists are scattered all over the world looking for their place or awareness of their diversity of being in this world. A place does not identify you as a person. 
It was important to me to display the flexibility/transparency  through and softness of a new generation of digital nomads who want to build a new peaceful world that is transparent yet robust.",Yo Kristin,"https://dl.airtable.com/.attachments/f031e82005712f994afba22d717a0327/465a7573/DigitalNomadYK.zip?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=275412d444633c5a, ",Needs fixing,"https://dl.airtable.com/.attachments/8f494238befe76ee2145930ba54193e0/7baf6390/DigitalNomadYK360.zip?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=1741fa6389947924, "
Magma jacket,I created this jacket with the use of materials similar to liquid magma inspired by the power of volcano phenomenon.,Valerie Disorder,"https://dl.airtable.com/.attachments/11acb61f6f02fd537c1268fa335fb60c/202f0a33/High-resolutionpreview.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=6d55c1ffd73ab159, ",All good,"https://dl.airtable.com/.attachments/b809470d6a70cd04546af54851173d23/4cdc7348/Magmajacket360videoH264.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=0f7c9476dabdeafa, "
Abduction,Abduction is an alienated feeling I have been experiencing as 3D Fashion Design since I have started my journey into web3.,Tania Viegas,"https://dl.airtable.com/.attachments/680ce037d85bc9e6e283102c53cc0c5b/ee34ab37/Abduction_2.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=3471382c46d9ba03, ",Needs fixing,"https://dl.airtable.com/.attachments/aa716f742263acb463134446dc811503/beae4814/Abduction_0.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=f810743bb37473ce, "
Mystic and Rust,The mystical and the natural. The spiritual is in the mundane and natural. ,Digital Sigga,"https://dl.airtable.com/.attachments/6141e8748a00b35cb01282f27a74f7f5/9f0cbf36/MistvalPantsandRust.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=ad9554c8dbab1706, ",All good,"https://dl.airtable.com/.attachments/b24084d4a40bb6b497d666968c5cd0dd/14fd4283/pantsandrust360.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=52f240a8545c00a8, "
Hexagons print dress,"Hi! Thank you for the competition! 
My digital grey and white tones dress was inspired by mermaids, sea and the fisherman's net. Hexagons reminded me of the fish scales shimmering as the sun's ray brush.
Hope you like it!
Veronica
my instagram @kemskynft ",Veronica Kemsky,"https://dl.airtable.com/.attachments/51dd96d8568901eda66be23ea64438f9/56b7c6e8/Hexagons-dress.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=bcab62ffc370ac60, ",All good,"https://dl.airtable.com/.attachments/ea88fe9995a06b45bf21be1c6d60f5e4/166a0fb5/Hexagon-dress-new.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=085961fff2713d6f, "
Lotus,"lotus is from a collection titled facade collection which was inspired by the architecture of buildings. This particular was inspired by the famous lotus building in Delhi, India",Aisha,"https://dl.airtable.com/.attachments/263b3db676b5e4b6caf21da6a310a6c1/9a088b34/lotusback.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=4e29026820d40f1f, https://dl.airtable.com/.attachments/7eac20e555ca783220d7e1629d7dad7f/ddb81cc8/lotusfront.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=26fea631c1baefc6, ",All good,"https://dl.airtable.com/.attachments/0d28a2797a8cbad81ca2a5cd14ef1bf3/1d965ce1/lotusnew.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=9f258646937a5b04, "
Heady,"My brand Porka_X reflects my vision of future clothes. Creating virtual clothes - I create more than clothing, I create a character. I see it as a canvas, where I'm trying to find the best shape and then apply prints on it. Print - is my self-expression. My prints reflect my passion, what is in my mind. The first impression people usually get from clothes, gestures, moves. Working in CLO3D I have an opportunity to create my own installations. Characters, that will present clothes how I see them. When I work with virtual clothes I feel freedom and pass this feeling to others. Virtual life, like virtual clothes, help us to get rid of prejudice",Porka_X,"https://dl.airtable.com/.attachments/c275e84019ff2504f6c4cfd51f88a5c8/8859c485/Porka_X_for_zero10.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=a04130e1b041b53f, ",All good,"https://dl.airtable.com/.attachments/05d16f4b5c37794d6fe0c5e99618141b/105df253/Porka_X.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=08e60e212f3ff52e, "
syro 'drague' knit,"""Somewhere, in a sparsely populated galaxy, there is a planet like any other. The creatures of this world have four limbs. The two lower limbs enable them to move forward and backward, and the two upper limbs enable them to kill""

This quote is from experimental sci-fi animation masterpiece called ‘Fantastic Planet’ directed by Rène Laloux and based on Stefan's Wul novel. It isn't hard to guess whom this quote is referring to as 'the creatures' with four 'limbs'. It's also easy to understand that Syro 'Drague' Knit is a loving tribute to this very movie. This magnificent blue garment has a loose cropped fit and it is topped with a 3D visualization of the main character inhabiting ""Fantastic Planet"", called ""Drague"" as the sweater does.

The meaning of the 'Drague' Knit is based on film's narrative allegory about animal rights and human rights, as well as racism — problems that remain extremely relevant to this day.",Syro,"https://dl.airtable.com/.attachments/28aa926d99208afa8a940f3f3d6d5105/d9844c48/syrodragueknit.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=7f4d20618f3d93a8, ",All good,"https://dl.airtable.com/.attachments/501f42ff663ac6c6eb403e1f8ee2e29d/a396c6d4/syrodragueknitVideo.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=4e6544ae10525d7e, "
Oil (Neft') dress,I was inspired by global crisis. I dipped my ('asil) dress in oil to show that the reason for all wars on Earth is the struggle for resources.,Nawel ('asil),"https://dl.airtable.com/.attachments/ca7a876807ec21911f8a30802440b1de/6af4c782/neft5.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=cd3279ec403fd28f, ",All good,"https://dl.airtable.com/.attachments/fec24c2d52c1394267c5ecd6ec3c3364/88a89a95/neft5.hevc.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=be7681b9f4d34ba8, "
Online babe,When work follows you everywhere,Papaga Lab,"https://dl.airtable.com/.attachments/d796592d0a1f74f5c1b143aa2441ec3e/900fccbd/RENDER0.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=8b020c7430356b54, ",All good,"https://dl.airtable.com/.attachments/c982e526aadd576b24d23d3f61f7bdaf/5519526b/v00001-0150.hevc.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=5c6d87e1bf92df3b, https://dl.airtable.com/.attachments/cfd3d754e662247aeff39922a4b7bd57/c840c76e/v00001-0150.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=ef2b3c86c5219cfb, "
Mafia Girlboss,"A black leather dress with a boning top, and a chiffon detail on the shoulders. Gives the vibes of a girl go-getter, a girl who knows what she wants and she's not afraid to take it. A mafia girl-boss. ",Mariam Khaled,"https://dl.airtable.com/.attachments/a91e216073d5e16b2288e512da169531/f07f57b2/Mafia_1.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=57f165146b75169c, ",Needs fixing,"https://dl.airtable.com/.attachments/f18e5eb127c40269ef0e62b9abdeed34/00043a04/clockwise.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=68b002d92f73ff8f, https://dl.airtable.com/.attachments/d059b0d7892980ee3ffd74341b2cad23/c857dd25/counterclockwise.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=fcae42ecfcadb883, "
Online babe,"When work follows you everywhere

This work was inspired by the series ""Severance"".
It's dedicated to all the people who feel out of place 

From A.D.A. ( digital atelier )",Papaga Lab,"https://dl.airtable.com/.attachments/ed1819f28039c1601ee41e2f6fb4b1ef/fc4b668c/RENDER0.png?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=c680d0a88ea08811, ",All good,"https://dl.airtable.com/.attachments/f72a957d3abeb6c6bbb4bc9d7651daea/c52cf920/vf0001-0150.hevc.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=ff919f4ee06c1833, https://dl.airtable.com/.attachments/33825bbff8794657b5369c8efaeb138c/b9e52818/vf0001-0150.mp4?ts=1658983004&userId=usrJS3FPcjRWm5Vxo&cs=c58d0ccb309bfe90, "
