item_name,description,auth_choosen_name,preview,preview_status,video_360,video_360_status,zpr_file_status,texture_pack_link_status,Submission accepted
GEN DRESS,"Genesis and Genetics are two words for which the dress's name was born.
We are living in an era where human beings need to re-connect with their beginning, with nature, and feel it as part of their DNA if they want to continue living in this world.
The dress represents this new form of life, a balanced fusion of organic shapes and different materials (especially organic silk) layering and overlapping in harmony.
The colors contrast in order to represent the never-ending cycle of life and passing of time, vibrant and muted, new and old, origins and tradition in balance with new ways and contemporary visions.",Sebastian Ruelas,"https://dl.airtable.com/.attachments/26609c4b31c471e067e60de4eee70fb5/1aac74f6/DRESS2000.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a0d3b59f8784769f, ",All good,"https://dl.airtable.com/.attachments/ef2816097df6bf5668aa5e7363dfb27e/5840211c/2_0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=515c71c1f8541f43, ",All good,All good,All good,1
Totem Bomber Jacket ,"The idea behind this garment was to create something that can mix the simplicity of a bomber jacket with a complex and appealing design. The colors I have chosen have the
purpose to recall hot places in contrast to the classic use of a bomber jacket to fight the cold.
The design aims to stimulate the imagination of the wearer giving him total control over what he sees in the shapes of the jacket.
I choose to develop this garment in 3D because realize it in real live could be very expensive but I still wanted to evaluate the impact of such design on the public.",Alison Gadaleta,"https://dl.airtable.com/.attachments/ebabf678de5c3a12d7dbc78c4f69e302/fe2fa7c2/2k_front_totem_bomber_jacket.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=8f498357236e3158, ",All good,"https://dl.airtable.com/.attachments/0fbd3a378835c2edc97117b5a375a8be/24ac310d/360_totem_bomber_jacket.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=caad20fb218d9795, ",All good,All good,All good,1
Latex carrot,"Do you want a sweet carrot?

From: A.D.A. (digital  atelier)",Papuga Lab,"https://dl.airtable.com/.attachments/58bd8a450188b05033c52b337404593e/b8cf3cc3/Z10.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=764f2bd76713cee1, ",All good,"https://dl.airtable.com/.attachments/4eb12435312bf185de5241e3505ea2f3/1b65d0ea/VIDOMORKOVKA0001-0150.hevc.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=75f51a3546565df7, ",All good,All good,All good,1
Pacifier sleepers,"Digital adult sleepers overalls with print: ""pacifier"" can back to childrenhood and present funny mood",Tatiana Korneeva @Putcutclo ,"https://dl.airtable.com/.attachments/6c1e297741d59b5baea9e637f7151e85/a00d0d15/pacifier_sleepers_0.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=0e851d6374736b3d, ",All good,"https://dl.airtable.com/.attachments/916335724bd4ba3c6f277397749996ba/047cb9bf/pacifiersleepers2.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=04a662572ec7e675, ",All good,All good,All good,1
Puff-hem dress,"A green-pink dress with a puffy hem that allows you not to languish in the summer, and if it gets colder, you can even sit on the cold steps.",Natalia Samsonova @3d.fox.soul,"https://dl.airtable.com/.attachments/844dff898bd7c3da4544b5f868f0ed5e/30d3f077/puffhemdressviz_tr.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=bb3acc1ec451e213, ",All good,"https://dl.airtable.com/.attachments/c4d9a8b3759ce0bf176cbe96b524fbbe/d7d9c5ce/puffhem_dress_video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=82f100b931c3cac8, ",All good,All good,All good,1
Corrosion,"I was inspired by the beauty of metal corrosion, incredible overflows of rust and peeling paint in places. To create the shape of the dress, I used the blots I drew and then experimented with textures in Photoshop",Rita Valeeva,"https://dl.airtable.com/.attachments/44a8a8c0aeac52fd7fa54d1a466a418a/d4ea1abe/corrosion_16.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=854186ca29140eb1, ",All good,"https://dl.airtable.com/.attachments/8406a8cc2434c7d9c271fc7714b47e1c/523531fe/corrosion_360_s.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=2e7995aad25143b9, ",All good,All good,All good,1
Light Coat,"A lot of my designs are focused on bringing the digital and the natural together. In this case I my starting point was in the ethereal beauty of the shadows of plants in the wind. I found it fascinating how it contrasts with the way we view digital images, where we are able to see digital images through the light our screens emit, we can see these projections of plants by the absence of that light. The garments themselves are transparent in a purposefully artificial way to let the natural but digitised light shine from withing them.  ",Non Fungible Clothing,"https://dl.airtable.com/.attachments/3ae118105ae368b483ee45a164781f2f/4cc8b100/CoatFinal.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=540c874503020587, ",All good,"https://dl.airtable.com/.attachments/8805fd7b99ae0153f3780396f9d3725f/061a3b9b/RenderCoat_1.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=787b00d2f8d262a0, ",All good,All good,All good,1
Crystals,Purplle crystal ,Porka_ X,"https://dl.airtable.com/.attachments/796b8ccad55f64d58213d50f23664c8e/788071f6/porkajacket_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=c28f5aef36ab1cbd, ",All good,"https://dl.airtable.com/.attachments/8a8994124277718a45168a09f79c8adf/30fe9323/purple0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=46b8e5044b0f85ee, ",All good,All good,All good,1
Biomorphic dress,dress was inspired by organic shapes,Dinara Garaeva (whynoen),"https://dl.airtable.com/.attachments/4d5e9f9a62b85e412248fd0b2e3f6b74/99f5cd1c/dress1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=26f4b923b3bac95a, ",All good,"https://dl.airtable.com/.attachments/1ee968f3c96f3a394568cb973c2eb0f4/91c78a73/dress1.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a18a0bcd5efc4426, ",All good,All good,All good,1
Mermaid Suit,This is my interpretation of a mermaid costume inspired by the shapes of the sea wave and the incredible colors of the ocean depths.,Ramila Akhmedova,"https://dl.airtable.com/.attachments/4706c5c68a0376af274f1b3470bb9d35/49ff88f6/Mermaid_Blue4096.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=336056c793cf9470, ",All good,"https://dl.airtable.com/.attachments/fbef1c54e884d0d9c797c58d631b05ec/6a107605/Mermaid_Video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=e6f72f119cc93880, ",All good,All good,All good,1
Shimmer,"This dress is included in the collection ""Midsummer night"".  
Cool summer nights beckon with the sweet scent of mattiola in the garden, where the dew shimmers on the cobwebs, and the moon accompanies you on a midnight romantic date with him...",Galina Seredenko,"https://dl.airtable.com/.attachments/2f25e0de759f66aa8206e3bb8588c835/9f5536a9/Shimmer.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5cceed55a8207856, ",All good,"https://dl.airtable.com/.attachments/f983e80dcff7b6f78a879ff49005e3bc/dfe5802a/Galina_Seredenko_Shimmer.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=8f339334e79d4307, ",All good,All good,All good,1
Military crochet pant,"The garment was developed from existing garments with a view to recycling a crochet cloth with a classic military padding.
Genderless, if you like it, you can wear it.",Andrea Lolato,"https://dl.airtable.com/.attachments/6a43f690971194ed43afdfd5b671d292/9297720e/MILITARYWAVEPANTS_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5b83cd4ff77af66a, ",All good,"https://dl.airtable.com/.attachments/6752f7020222b229acb98ddcc4f54c88/ca2f1c4a/MILITARYWAVEPANTS_0.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=129f722ed92244e6, ",All good,All good,All good,1
ZERO_BOT,ZERO is an edgy but casual spin on puffer-wear that draws Inspiration from retro anime and space suits; an iridescent and hydrophobic fit for the modern introvert. Pants have in-built programmable LED displays. You can't drown in this drip.,EZZYLAND,"https://dl.airtable.com/.attachments/00c9e1f1f1148387fae1d52c303515f4/0d5296f4/zero_bot_2k_post.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=7e355140ff26c23d, ",All good,"https://dl.airtable.com/.attachments/e2957196001dd5935da8383fad3b57e2/e519a0b2/zero_bot.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5a06edb7e24866a3, ",All good,All good,All good,1
DELIRIO TANK TOP,"Conceived from unwearable materials, Eter explores the infinite possibilities of the virtual and creates new digital wear. This garment is a two layered tank top: a translucent glassy top covered in hard melting metal, creating a balance between exploring fantasies through clothing and desirable items that we would love to have in real life.",ETER STUDIO,"https://dl.airtable.com/.attachments/6d687e4e0750681919f69427e083a0ab/73bc679e/EterStudio_Top_Front.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=85d199bc4ad888d7, ",All good,"https://dl.airtable.com/.attachments/226d1a0159dd916e0c3571a061245538/a78d3515/EterStudio_Top_360Video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=111b3e9785d34801, ",All good,All good,All good,1
JJacket,This is the digital version of our John Jacket which we were inspired by the music and social position of the legendary John Lennon. it's a mix of biker jackets and hippie ponchos,Nawel ('asil),"https://dl.airtable.com/.attachments/d549b4171fbfcef5657908ac6767285e/7c476a4a/JJacket.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=182dfb2e8c39b451, ",All good,"https://dl.airtable.com/.attachments/9fe8b5929618788d66ba80aff7c40b0b/88cba886/JJacket.hevc.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=00e9fe731c65ebbd, ",All good,All good,All good,1
Dress Mess,"Live fast and overthink. 
Have you ever been out and about feeling luscious and suddenly the dread for the future knocked in? 
This spicy, coquettish dress is here to ask everyone. The answer is  always: enjoy the moment. ",Sofia Cucchi - Buyo Studio,"https://dl.airtable.com/.attachments/242283b403b296602743a3ec3a8d656c/db3a6f26/Dress-Mess_Front.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=9a0d712f4ed61f7a, ",All good,"https://dl.airtable.com/.attachments/55334c17de81c2f0101be5bc06221f4c/e5c3f653/Dress-Mess_3.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=8bb6de4470b086d0, ",All good,All good,All good,1
Rusty Top Purple Pants,Heavy chest. Anxiety. What comes next. Perfect pants. ,Digital Sigga,"https://dl.airtable.com/.attachments/9ee14962e74fb90be63f3d2392c56902/932564f1/LOOK2_0.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=26b28f78d2c33761, ",All good,"https://dl.airtable.com/.attachments/a8bece4213523c9690d2a51363b19ac6/be5fc672/RustyTopRIGHT.mov?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=064a90997ce664b4, ",All good,All good,All good,1
Black Widow,A velvet off-shoulder black dress with a slit for when the hot girl is widowed in her 30s. Sad yet sophisticated and elegant.,Mariam Khaled,"https://dl.airtable.com/.attachments/e55fa279e68b2bb2984ca4a6ca53cc39/158c0b2f/Blackwidowre.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=84e7ff5d1e3fcfeb, ",All good,"https://dl.airtable.com/.attachments/0723bc9507749b2ee125424ebc0d6b92/624078fb/videore.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=9ccae83d3b92082d, ",All good,All good,All good,1
Sunset dress,"This dress was inspired by the sunset, it's made in a gradient fabric that goes between orange and purple. the dress has five layers of accordion pleats that flare out at the end to reach that touch of gold like the sunset sky has these subtle sunrays. ",Mariam Khaled,"https://dl.airtable.com/.attachments/a4ebbd40f5e50d988ccc01713fd0ec38/a2ce8709/sunset.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=9375f7300f91275d, ",All good,"https://dl.airtable.com/.attachments/e343eeb43005c88c597b4d036367334b/9d72be93/video.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=d40981288089ee19, ",All good,All good,All good,1
white noise,"The realization has come that you have failed to protect yourself from the influence of white noise (the opinions of others, the media, the daily routine, groundhog day, the noise of cars and the noise of human life, the monotonous cycle).

White noise overrides the voice of my inner self. This noise makes it hard to hear and understand yourself.
",Alain Jassi,"https://dl.airtable.com/.attachments/7b7f86a530610cdf571043813641a637/29c4b668/whitenoise_High-resolutionpreview.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=263a00eeb67cfd3f, ",All good,"https://dl.airtable.com/.attachments/ba982aa69b1709147dd0401af3e29da6/d707cdab/0001-0150.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5a75c7f21e9c814c, ",All good,All good,All good,1
Nastro dress,"Nastro dress is an elegant and essential dress. It wraps the shape of the body enhancing harmonious lines. The material is iridescent and enameled, enveloping you like an ancient goddess.",maria piattica,"https://dl.airtable.com/.attachments/5320715d4a9f77558211e11b3f520ccb/199291d4/Nastrodress_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a87ea3c32fa53974, ",All good,"https://dl.airtable.com/.attachments/9c1d6f1b9fe447e5fd6080e242912bcf/2c6c3f87/Nastro.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=e3ac0bb4136ce652, ",All good,All good,All good,1
Coraline Coat,"I was born in a small village inside the hills, surrounded of green. The ispiration for Coraline coat is born from here, I mixed the mood from my grandma's old photographs with every shades of green that I see around me every day. ",Federica Crippa,"https://dl.airtable.com/.attachments/536307b1b86ff3be88fd20402dbbbe2d/35feaf85/CORALINE_1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=fbf63431df7e225a, ",All good,"https://dl.airtable.com/.attachments/5cfa1697267aa48330abb09ec9d88905/30d9de3a/VideoCoraline.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=0475b0f97755efc0, ",All good,All good,All good,1
"Pants ""Pieces"" (Woman)","All products were created with the support of the new digital atelier A.D.A. (Alkali Digital Atelier)
The first costume ""Pieces"" is created for people, who wants to try clothes that cannot be in realitys are created for any gender and they can be worn separately.",O.Che,"https://dl.airtable.com/.attachments/113c103b325afaf935a1b61c6fb90c88/a3837f9a/PantsPiecesW1.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=5d55514b9875a94e, ",All good,"https://dl.airtable.com/.attachments/c710a5ffe73ab85693c36250712d71c6/9b4a45c9/PantsPiecesW.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=6afe623f8829b1dc, ",All good,All good,All good,1
From the Dev桜ce,Digital Dress [Sakura (new beginnings) + iPhone (accessibility to tech) + Eyes (navigating warnings)] = From the Dev桜ce ,lilliansato.o,"https://dl.airtable.com/.attachments/1bc812ace426c346e2356df9c37472de/a443a1ef/FromtheDevce.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=703f420ba32851f5, ",All good,"https://dl.airtable.com/.attachments/ca8813e3644c473b5cd4680a29b210c3/9383c014/FromtheDevce360.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=7637425a75567839, ",All good,All good,All good,1
Radiance dress,"The Radiance dress is inspired by the role of women in today's world. And metaphorically all the roles are reflected in this attire. The armor symbolizes the function of protecting the family, children and oneself. Luminous side elements with a train refer to the social component, where they achieve success, create new projects and leave a significant mark on history. An animated twinkling centerpiece front and back shows how women fill the world with beauty and brilliance, and how they change the world around them.","Olga Gladilova, 19G","https://dl.airtable.com/.attachments/24276cccf88500de39d14adff47f45fe/174f6dad/dress2zero10finalrender.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=3ac986e992e98f56, ",All good,"https://dl.airtable.com/.attachments/ca86136890293c2b4b84a138849819a0/44076628/finaldress2zero10short.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=2f3f2b6ada273163, ",All good,All good,All good,1
Iridiscent Spacial Jumper,Spacial Jumper with iridiscent and translucent materials,Sogo Tyd,"https://dl.airtable.com/.attachments/46003e7773718c5db85f9c2ef5a110a2/aaf51047/IridiscentShortFINAL.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=70a61c41af0b77b5, ",All good,"https://dl.airtable.com/.attachments/835bd2aaac4dc9cc028d9124685328b4/1f3e7a14/Zero10360ShortFINAL.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=9e375b381661f7e9, ",All good,All good,All good,1
Ostrich Feather Dress,This dress is simple from a pattern-making point of view but has the twist of lots of ostrich feathers attatched to the skirt. This and the colours chosen make the wearer stand out from the mass for sure!,Giulio Bianchi (Nickname: gibi80 - Instagram: giulio_bianchi_dfi),"https://dl.airtable.com/.attachments/5eb8fb0b2438b29cb5258cccf77ef670/74388844/ostrich_ColorwayA.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=6575d288cf900559, ",All good,"https://dl.airtable.com/.attachments/db1344bd5fb205f77cf15e425a46a870/88651127/OstrichFeatherDress.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a4c38026a712bd9d, ",All good,All good,All good,1
Asymmetrical dress,Flowy yet elegant go-to staple for a chic-classic and fierce aesthetic. ,Jelizaveta Haqleitner,"https://dl.airtable.com/.attachments/1fa731cb5ba6f250ef38ed0d24498d34/87a50ca0/asymmetrical_dress_photo.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=3ad636fd1edea241, ",All good,"https://dl.airtable.com/.attachments/d0198fb9995f022983a9b57eb11376ee/811a5b4e/asymmetrical_dress_compressed_hevc.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=687296d06112c9be, ",All good,All good,All good,1
Mystic Side Dress,The hot and the cold. The natural and the mystical. Dreamy. ,Digital Sigga ,"https://dl.airtable.com/.attachments/7c5fb8bfea93452e853c31b47de3a3ef/ac1c6cc7/MisticalPlainDress.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=7fe0473f5d034efd, ",All good,"https://dl.airtable.com/.attachments/b10b5bc345bc2068bbc2a3048b0c5b99/8b79abff/MistaicalPlain.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=a75d1c3b6716722a, ",All good,All good,All good,1
Lover Puffer Jacket,A playful oversized digital puffer jacket with the ability to express love with an animated heart in AR.,oSnowie,"https://dl.airtable.com/.attachments/ea03704802c9ad8f7349c0c7eb7a4cc3/9c1c1f65/Zero10_Static_HiRes.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=c1b9e8c4db54bdb8, ",All good,"https://dl.airtable.com/.attachments/40550fa0694e5fd63c64549541eb1b0a/e9fede81/Zero10_360_1080.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=09f8e1eab9a96f70, ",All good,All good,All good,1
Venus,"This inflatable dress was created as a part of collection ""Planet Parade"". In Roman mythology Venus is a goddess of love and beauty. This is why the piece of garment has a very mild feminine look.",ITSALIVE,"https://dl.airtable.com/.attachments/b32ea938821ed246b7f717005bef4701/82855fa2/Itsalive_Venus.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=50960b0155441c59, ",All good,"https://dl.airtable.com/.attachments/e9110426f6126a7cdb1b8c0d068b032b/13df4a73/Itsalive_Venus.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=979b2d5019237f1d, ",All good,All good,All good,1
Rocket Nostalgia ,"Inspired by the feelings, Thoughts and conversations that astronauts have throughout their journeys, Thinking that somehow all these stay inside the ship, keeping their joys, discoveries and uncertainties. This design reflects all the moments and experiences they lived through and makes us remember everything they have achieved. ",Alexa Kusulas,"https://dl.airtable.com/.attachments/a6686f67635ade3c1145a2cc35b9d3a5/db463a21/RocketNostalgia.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=4e4510cc74b9d175, ",All good,"https://dl.airtable.com/.attachments/b2506c62be3a3f698ec6bf34d93b2afe/d849db2f/RocketNostalgia.hevc.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=81693b410a2ace56, ",All good,All good,All good,1
NeoDIABLO,The NeoDIABLO piece is the result of the junction of references that border the Y2K aesthetic with a lifestile of those who love and consume content aimed at TRASH terror. The futuristic with the nostalgic resulted in a jacket that represents this union of references.,NOSSAMATH,"https://dl.airtable.com/.attachments/335eaf79f45f77d6f628344ce8d8e1c0/182dd12b/RENDERALTACOMTEXTURA0215_0226.png?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=cf27c9627d6dcdf7, ",All good,"https://dl.airtable.com/.attachments/6c4887b9bcb3f97df5d770f503274b21/8a65a8ea/NeoDIABLO.mp4?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=67ba17a96e4eeadd, ",All good,All good,All good,1
Algae Green Dress ,"Olska Green (founder of the Ecoolska brand and fashion designer) was inspired by biodiversity of wonderful underwater world. The beauty of nature is the best source of inspiration. Algae plays a significant and integral role in the marine ecosystem. It is very important for balancing marine ecosystems and plays a role in thwarting climate change. You can feel like a mermaid from a fairy tale if you virtually try on this flowing elegant digital dress. 
",Ecoolska ,"https://dl.airtable.com/.attachments/d6e25e067c0676190b75e8f98dc462c3/a7ba79e4/GreenDress_PNG.png?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=b9e586d0e83565ca, ",All good,"https://dl.airtable.com/.attachments/9ab3f7f6ce6037fce289622663f57022/2ccb9630/GreenDress.mp4?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=f21f32b7f88dbb83, ",All good,All good,All good,1
"dress ""crack""",I am looking for inspiration in the real world and I want to reflect its beauty in the virtual world. I wanted to create an unusual dress design and complement it with an interesting texture. I hope I managed to get your attention. thanks!,OKA (Katerina Zhikhareva),"https://dl.airtable.com/.attachments/f1783cc75e8210ccbda3ba43252030b7/3cc0233f/OpenCall_Zero10_OKA_static.png?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=be312794e62749e0, ",All good,"https://dl.airtable.com/.attachments/52fbede2b5faad26b310a13b05115e67/179fc2cb/Open-Call_Zero10_OKA.hevc.mp4?ts=1658991126&userId=usrJS3FPcjRWm5Vxo&cs=38c89f3105a60530, ",All good,All good,All good,1
